file,tweet,sent,tokenized
text-query-tweets2021-04-05.json,"A great CRM platform is https://t.co/KTZRjUIxEt  Monday is entirely customizable, it gives individuals the ability to integrate everyday tools into the platform. It Creates an on-the-go (remote) flow effectively where ever you are. Schedules notification and reminds.  
#MARK3374",Positive,a great crm platform be https //t.co/ktzrjuixet monday be entirely customizable it give individual the ability to integrate everyday tool into the platform it creates an on-the-go remote flow effectively where ever you be schedules notification and remind mark3374
text-query-tweets2021-04-05.json,@MikeyFox https://t.co/cNEXdKtDTu and “to help you through the current situation”,Negative,mikeyfox http //t.co/cnexdktdtu and “ to help you through the current situation ”
text-query-tweets2021-04-05.json,https://t.co/vaIVFbjv57,Negative,http //t.co/vaivfbjv57
text-query-tweets2021-04-05.json,"Deb Cinkus of Polished Geek's answer to ""When should we switch to monday․com?"" https://t.co/1ky3DwlTjC",Negative,deb cinkus of polished geek 's answer to `` when should we switch to monday․com '' http //t.co/1ky3dwltjc
text-query-tweets2021-04-05.json,"@FeedHive_io This looks incredible 👌
Honestly looks like one of those ads for tools like asana or https://t.co/YuIKG4PGFq which I always get on Instagram. Really impressive!",Positive,feedhive_io this look incredible 👌 honestly look like one of those ad for tool like asana or http //t.co/yuikg4pgfq which i always get on instagram really impressive
text-query-tweets2021-04-05.json,My https://t.co/uUD7mrxMv6 account asked me for my best angle. There was only one option. #cermet https://t.co/zji5KIXHGj,Positive,my http //t.co/uud7mrxmv6 account ask me for my best angle there be only one option cermet http //t.co/zji5kixhgj
text-query-tweets2021-04-05.json,"Check out this detailed comparison of https://t.co/w8kEhNQEkZ and ContentCal to help you decide which is right for your business.

https://t.co/46yTu7i6uC via @ContentCal_io",Positive,check out this detailed comparison of http //t.co/w8kehnqekz and contentcal to help you decide which be right for your business http //t.co/46ytu7i6uc via contentcal_io
text-query-tweets2021-04-05.json,Avoid the temptation to spend lots of time perfecting something for months. https://t.co/43Evzw7mkU @mondaydotcom,Positive,avoid the temptation to spend lot of time perfect something for month http //t.co/43evzw7mku mondaydotcom
text-query-tweets2021-04-13.json,"5 Projects Added To Our BSC Yield Farm Page. Check Them Out Here: https://t.co/NcGRZv3XcK

List Your Project: https://t.co/Zn0KOCW6o8

This list is for community reference only and does not imply endorsement by BSC NEWS. Please remember to Do Your Own Research.",Positive,5 projects added to our bsc yield farm page check them out here http //t.co/ncgrzv3xck list your project http //t.co/zn0kocw6o8 this list be for community reference only and do not imply endorsement by bsc news please remember to do your own research
text-query-tweets2021-04-13.json,"5 lessons from Scaling https://t.co/RsoeJ5VNec 
1. Don’t only focus internally, but also on what others are saying around you. 
2. The areas of the company you’re most passionate about might be where you’re digging the biggest hole. 
https://t.co/9PPEzTvhjh",Positive,5 lesson from scaling http //t.co/rsoej5vnec 1 don ’ t only focus internally but also on what others be say around you 2 the area of the company you ’ re most passionate about might be where you ’ re dig the big hole http //t.co/9ppeztvhjh
text-query-tweets2021-04-13.json,"https://t.co/qNCFkRYrAK has a uniques concept of organizing your tasks with color-coded cards to provide you with visual clarity on the task statuses of different team members. 

https://t.co/4n22XBZuvZ",Negative,http //t.co/qncfkryrak have a uniques concept of organize your task with color-coded card to provide you with visual clarity on the task status of different team member http //t.co/4n22xbzuvz
text-query-tweets2021-04-13.json,"@SiuJoga é um site irmão, https://t.co/EH4BO5Fths",Positive,siujoga é um site irmão http //t.co/eh4bo5fths
text-query-tweets2021-04-13.json,"Everybody has times when the ""task"" seems too much or they need to get past a mental block!  Don't think you are the only one!  Some tips via @mondaydotcom  https://t.co/mHn7fCn8Ej #Inertia #Momentum",Negative,everybody have time when the `` task '' seem too much or they need to get past a mental block do n't think you be the only one some tip via mondaydotcom http //t.co/mhn7fcn8ej inertia momentum
text-query-tweets2021-04-13.json,"Everybody has times when the ""task"" seems too much or they need to get past a mental block!  Don't think you are the only one!  Some tips via @mondaydotcom  https://t.co/AoZwse2QiF #Inertia #Momentum",Negative,everybody have time when the `` task '' seem too much or they need to get past a mental block do n't think you be the only one some tip via mondaydotcom http //t.co/aozwse2qif inertia momentum
text-query-tweets2021-04-13.json,"@htdcompletely Thanks for your patience, Romain. We're already seeing improvements as our team works to resolve the connectivity issues. We hope to have good news for you very shortly! Stay up to date here: https://t.co/UmvYYLCiOF",Positive,htdcompletely thanks for your patience romain we 're already see improvement as our team work to resolve the connectivity issue we hope to have good news for you very shortly stay up to date here http //t.co/umvyylciof
text-query-tweets2021-04-13.json,"3 Herramientas Super Chulas para Gestión de Proyectos 

https://t.co/IS9QQ5ZCnt

https://t.co/DKF4l9VO14

https://t.co/ElQltBul28

#amintoreoficial #emprendimiento #proyectos #tipsdeemprendimiento",Negative,3 herramientas super chulas para gestión de proyectos http //t.co/is9qq5zcnt http //t.co/dkf4l9vo14 http //t.co/elqltbul28 amintoreoficial emprendimiento proyectos tipsdeemprendimiento
text-query-tweets2021-04-13.json,"@IndiaGMcAlister Thanks for your patience, India! As much as we love spring break 😎 our devs should have this resolved in no time! Stay up to date here: https://t.co/mh9RUFmadH",Positive,indiagmcalister thanks for your patience india as much as we love spring break 😎 our devs should have this resolve in no time stay up to date here http //t.co/mh9rufmadh
text-query-tweets2021-04-13.json,"@igaln We are on it, Igal! Rest assured, we are going to turn this monday around 💪 Check our our page here for updates from our developers: https://t.co/ZddybQIRkF",Negative,igaln we be on it igal rest assure we be go to turn this monday around 💪 check our our page here for update from our developer http //t.co/zddybqirkf
text-query-tweets2021-04-13.json,"@lombardinelson Those socks are looking sweet, Mark -- we will let our team know you're looking for more  😉 💪Thanks for your continued patience! Stay updated on our connectivity here: https://t.co/eZN4JXihOl",Positive,lombardinelson those sock be look sweet mark -- we will let our team know you 're look for more 😉 💪thanks for your continued patience stay update on our connectivity here http //t.co/ezn4jxihol
text-query-tweets2021-04-13.json,"@ksmitchell86 @mondaydotcom I guess 40% of their last round should be a good heuristic for search and social spend.

https://t.co/pHV0nN4PCd",Negative,ksmitchell86 mondaydotcom i guess 40 of their last round should be a good heuristic for search and social spend http //t.co/phv0nn4pcd
text-query-tweets2021-04-13.json,"@joelle_welling We apologize, Joelle! Rest assured, our dev team is on the case. 🙏 We should be back up and running in no time. Stay updated here: https://t.co/vZcNfqTbkI",Negative,joelle_welling we apologize joelle rest assure our dev team be on the case 🙏 we should be back up and run in no time stay update here http //t.co/vzcnfqtbki
text-query-tweets2021-04-13.json,"@TheDKaufman Thanks so much, David! We are experiencing  connectivity issues for some accounts. Rest assured, our Dev team is on the case and diligently working to resolve this matter as quickly as possible 💪 stay updated here: https://t.co/0nbIAKaujL",Positive,thedkaufman thanks so much david we be experience connectivity issue for some account rest assure our dev team be on the case and diligently work to resolve this matter as quickly as possible 💪 stay update here http //t.co/0nbiakaujl
text-query-tweets2021-04-13.json,@JinSooDHuh Good time for a cookie break -- we hope to be back up and running in no time! Our Dev team is on the case and diligently working to resolve this matter as quickly as possible  🍪 💪 Stay updated here: https://t.co/VjE35ypotE,Negative,jinsoodhuh good time for a cookie break -- we hope to be back up and run in no time our dev team be on the case and diligently work to resolve this matter as quickly as possible 🍪 💪 stay update here http //t.co/vje35ypote
text-query-tweets2021-04-13.json,"@whoisrachie We are so sorry for any inconveniences, Rachel! Rest assured, our team is on it!  💪 Stay up to date here: https://t.co/ttzjw0lNQx",Negative,whoisrachie we be so sorry for any inconvenience rachel rest assure our team be on it 💪 stay up to date here http //t.co/ttzjw0lnqx
text-query-tweets2021-04-13.json,"@thatsALfornow As fast as possible! Rest assured, our Devs are on it! 💪 Thanks for your patience and collaboration. Stay up to date here: https://t.co/B10QPqzBXB",Positive,thatsalfornow as fast as possible rest assure our devs be on it 💪 thanks for your patience and collaboration stay up to date here http //t.co/b10qpqzbxb
text-query-tweets2021-04-13.json,NOT https://t.co/PTuJEuVKAd AND GOOGLE DOCS BOTH BEING DOWN ON A MONDAY MORNING WHEN I HAVE WORK PROJECTS DUE,Negative,not http //t.co/ptujeuvkad and google docs both being down on a monday morning when i have work projects due
text-query-tweets2021-04-13.json,"Apparently, both G-Drive and https://t.co/IwhrnyzcXG have decided to go on spring break so I guess it's back to the typewriter and carrier pigeons for me!",Negative,apparently both g-drive and http //t.co/iwhrnyzcxg have decide to go on spring break so i guess it 's back to the typewriter and carrier pigeon for me
text-query-tweets2021-04-13.json,"@BritniZibin We completely understand, Britni, We are so sorry for the inconvenience! Our team is on it. We realize the importance of resolving this right away! Any partial delays should be resolved in no time! Please visit https://t.co/czK3ekxTXF to see the updates live!",Negative,britnizibin we completely understand britni we be so sorry for the inconvenience our team be on it we realize the importance of resolve this right away any partial delay should be resolve in no time please visit http //t.co/czk3ekxtxf to see the update live
text-query-tweets2021-04-13.json,"We know at @mondaydotcom how difficult it can be to keep track and monitor your endless campaigns, ongoing projects, blogs, and remote team members.

https://t.co/CkWoRptjCh",Positive,we know at mondaydotcom how difficult it can be to keep track and monitor your endless campaign ongoing project blog and remote team member http //t.co/ckworptjch
text-query-tweets2021-04-13.json,@Dragzai Thanks for reaching out -- sorry for the hiccup! Our devs on our it! Stay up to date on this through our connectivity page https://t.co/zGMUaMiFla,Positive,dragzai thanks for reach out -- sorry for the hiccup our devs on our it stay up to date on this through our connectivity page http //t.co/zgmuamifla
text-query-tweets2021-04-13.json,https://t.co/6gfAI2JLt7 down on a Monday? More like https://t.co/tNJ9qFUoWJ amirite??? https://t.co/Z6IxZOMx2X,Negative,http //t.co/6gfai2jlt7 down on a monday more like http //t.co/tnj9qfuowj amirite http //t.co/z6ixzomx2x
text-query-tweets2021-04-13.json,"Novice or stage veteran, now is your chance to speak at #ddc2021!  Session topics include game dev, tech &amp; tools, art &amp; animation and diversity. Follow https://t.co/f6MDYCRaTl to submit your talk/panel/workshop proposals! #callforspeakers #devcom #conference #devcom2021 #gamedev https://t.co/aLoJkGLlPz",Positive,novice or stage veteran now be your chance to speak at ddc2021 session topic include game dev tech amp tool art amp animation and diversity follow http //t.co/f6mdycratl to submit your talk/panel/workshop proposal callforspeakers devcom conference devcom2021 gamedev http //t.co/alojkgllpz
text-query-tweets2021-04-13.json,@CamachoMarivi Congratulations on completing your course 🎉We'd like to feature your story on social media to inspire others. If interested please complete this form: https://t.co/n2Ata5aL0x #ThisIsFutureLearning,Positive,camachomarivi congratulations on complete your course 🎉we 'd like to feature your story on social medium to inspire others if interested please complete this form http //t.co/n2ata5al0x thisisfuturelearning
text-query-tweets2021-04-13.json,free trail such ich immer noch...@ monday. com,Negative,free trail such ich immer noch ... monday com
text-query-tweets2021-04-13.json,"Join us for our Q&amp;A Session this Friday 16 April 2021, 12:30-13:30 on our France - South Africa Cross Acceleration Programme hosted by TuksNovation. Bring all your questions &amp; we'll bring the answers

RSVP: https://t.co/mPMXUWNO9m

#startups #business #opportunity #webinar https://t.co/FELmhqt5KW",Positive,join us for our q amp a session this friday 16 april 2021 12:30-13:30 on our france south africa cross acceleration programme host by tuksnovation bring all your question amp we 'll bring the answer rsvp http //t.co/mpmxuwno9m startups business opportunity webinar http //t.co/felmhqt5kw
text-query-tweets2021-04-13.json,"No, I don’t want to try https://t.co/veyq37wp26",Negative,no i don ’ t want to try http //t.co/veyq37wp26
text-query-tweets2021-04-29.json,@LittleFloweerCY monday com o sebastian stan,Positive,littlefloweercy monday com o sebastian stan
